Company Name,Total Interns,Employees,Address,Town,State,Zip,Sector
Agira,2,3,8 Saint Mary's St Rm 611,Boston,MA,2215,Solar
"AGreen Energy, LLC",1,2,"580 Harrison Ave, Suite 404",Boston,MA,2118,Biomass
"Agrivida, Inc. ",2,33,"200 Boston Ave, Suite 2975",Medford,MA,2155,Biofuel
AirStat LLC,2,4,"38-41 Medford street, Unit 1",Somerville,MA,2143,Energy Efficiency
AKF,3,30,"294 Washington Street, Suite 700",Boston,MA,2108,Energy Efficiency
Alares LLC,3,18,248 Copeland Street,Quincy,MA,2169,"Energy Efficiency,Geothermal,Green Building,Solar"
All In Energy,39,25,30 Fairview Street,Roslindale,MA,2131,Energy Efficiency
"Alliance Clean Energy, Inc.",17,15,"16 High Street, Suite 300",North Andover,MA,1845,Solar
"Alliance Clean Energy, Inc. (DBA ACE Solar)",40,90,"16 High Street, Suite 300",North Andover,MA,1845,Solar
Alliance for Climate Transition (ACT),52,13,444 Somerville Avenue,Somerville,MA,2143,Services and Support
Allium Engineering,2,1,444 Somerville Ave,Somerville,MA,2143,Green Building
Alloy Enterprises Inc,1,44,"20 Blanchard Road, Suite 10",Burlington,MA,1803,Energy Efficiency
Aloft Systems Inc.,5,2,1501 Friar Tuck Court,Lafayette,CO,80026,Wind
Alp Tech Inovations Inc,1,1,"444 Somerville Ave, Somerville, MA 02143, United States",Somerville,MA,2143,Energy Storage
Altaeros Energies,12,13,28 Dane St.,Somerville,MA,2143,Wind
"ALTE STORE, INC.",2,,330 Codman Hill Rd,Boxborough,MA,1719,Solar
Alternate Power & Energy,1,2,350 Commerce Drive,Fall River,MA,2720,Solar
"Alturus, LLC",6,4,"4 Liberty Square, 3rd Floor",Boston,MA,2109,Alternative
AM Batteries Inc,5,9,200 Turnpike Rd Unit 5,Chelmsford,MA,1824,Energy Storage
Ambri Inc.,19,36,"53 Brigham Street, Unit #8",Marlborough,MA,1752,Other
American Battery Metals Corporation,3,3,444 Somerville Rd,Somerville,MA,2143,Energy Storage
American Boronite Corporation,8,9,11 Cypress Drive,Burlington,MA,1803,"Energy Efficiency,Other"
American Offshore Wind Academy,1,1,12 Berkshire Place,Cambridge,MA,2141,Offshore Wind
Ampion Renewable Energy,3,86,50 Milk Street 18th Floor,Boston,MA,2116,Solar
AMPL Energy,5,3,30 Farren Road,Weymouth,MA,2189,Energy Efficiency
Anfiro,2,1,84 Tremont St,Cambridge,MA,2139,Water Technology
"Angstrom Advanced, Inc.",26,7,95 Mill Street,Stoughton,MA,2072,Other
"Anthology Biotechnologies, Inc.",1,6,750 Main Street,Cambridge,MA,2139,Biofuel
Aquaculture Productivity Innovations,2,3,305 W. 71st 3F,New York,NY,10023,Energy Efficiency
AquaFresco,2,3,28 Dane St.,Somerville,MA,2143,Water Technology
Aquasaic,2,1,444 Somerville Avenue,Somerville,MA,2143,Water Technology
Architerra Inc.,3,12,"281 Summer Street, 6th Floor",Boston,MA,2210,Green Building
"Associated Energy Developers, LLC",22,7,5 Aldrin Road,Plymouth,MA,2360,Solar
Association of Cleantech Incubators of New England (ACTION),3,2,151 Martine Street,Fall River,MA,2723,Services and Support
Astrum Solar (DBA Direct Energy Solar),1,100,244 Caterina Heights,Concord,MA,1742,Solar
Atacama Biomaterials,10,2,"195 Binney Street, Apt 2307",Cambridge,MA,2142,Biomass
"Atlantic Design Engineers, Inc.",37,13,P.O. Box 1051,Sandwich,MA,2563,Solar
Atrex Energy Corp.,23,40,19 Walpole Park South,Walpole,MA,2081,Fuel Cell
AUTONOMOUS MARINE SYSTEMS INC.,9,5,28 Dane St.,Somerville,MA,2143,"Services and Support,Wind"
Avalanche Energy,4,1,28 Dane St.,Somerville,MA,2143,"Solar,Water Technology"
"Azolla Management Company, LP",10,7,"625 Massachusetts Avenue, 2nd Floor",Cambridge,MA,2139,Finance
B E Retrofit,4,12,25 Olympia Ave,Woburn,MA,1801,Energy Efficiency
Bala Consulting Engineers,1,40,52 Temple Place,Boston,MA,2111,Green Building
"Ballard Unmanned Systems, Inc.",4,8,153 Northboro Rd.,Southborough,MA,1772,Fuel Cell
Banks II Quan and Associates (B2Q Associates),10,20,"100 Burtt Road, Ste 212",Andover,MA,1810,Energy Efficiency
Barn Owl Technologies,5,1,978 Worcester Street APT 409,Wellesley,MA,2482,Solar
Baseload Renewables Inc.,2,5,510 Mass Ave.,Cambridge,MA,2139,Smart Grid
Battery Resourcers,22,14,54 Rockdale St Rockdale,Worcester,MA,1606,Conservation
"BEAM Engineering (Beebe Engineering and Management Group, LLC)",7,2,10 Fairmount Road,Reading,MA,1867,Solar
BeCause Water,6,1,"50 Milk Street, 17th Floor",Boston,MA,2109,Other
Because Water Benefit Corp,19,2,"50 Milk Street, 15th Floor",Boston,MA,2109,Water Technology
Bending Spoon Inc,2,,444 Somerville Ave.,Somerville,MA,2143,Water Technology
Berkshire Environmental Action Team (BEAT),2,7,20 Chapel Street,Pittsfield,MA,1201,Other
Better Future Project,29,7,15 Properzi Way,Somerville,MA,2143,Other
Better Together Brain Trust (DBA BT2 Energy),3,3,38 Warren Street,Boston,MA,2119,Energy Efficiency
Better.Bike,1,5,265 Greenfield Road,South Deerfield,MA,1373,Alternative Transportation
Beyond Green Construction,7,10,13 Terrace View,Easthampton,MA,1027,"Energy Efficiency,Green Building,Solar"
Bildbot Inc. (DBA Monadnock Energy),1,1,444 Somerville Avenue,Somerville,MA,2143,Solar
Biobot Analytics,1,6,444 Somerville Ave.,Somerville,MA,2143,Water Technology
Bioechem,7,1,292 D Street #2B,Boston,MA,2127,Energy Efficiency
"Bioengineering Group, Inc. (Chester Engineers)",2,,18 Commercial Street,Salem,MA,1970,Energy Efficiency
"BioSafe R&D, LLC",2,2,383 Chapin Road,Hampden,MA,1036,Water Technology
BitTown,3,2,444 Somerville Ave.,Somerville,MA,2143,"Demand Response,Energy Efficiency,Geothermal"
"Blacksmith Solar, LLC",2,1,70 Middlecot Street,Belmont,MA,2478,Solar
BlazeTech Corp.,25,4,29B Montvale Ave,Woburn,MA,1801,Biofuel
BlocPower,4,2,"1623 Flatbush Avenue, Box #222",Brooklyn,NY,11210,Energy Efficiency
Blue Wave Capital,19,90,111 Huntington Ave,Boston,MA,2199,Solar
Bluefield Research,46,12,"100 Franklin Street, Floor 7",Boston,MA,2110,Water Technology
"Bonzer, Inc.",13,4,"449 Canal Street, Unit 242",Somerville,MA,2145,"Alternative Transportation,Services and Support"
Boreal Renewable Energy Development,3,7,"406 Massachusetts Avenue, Suite 2",Arlington,MA,2474,Solar
Boston Climate Action Network,1,1,42 Seaverns Avenue,Boston,MA,2130,Green Building
Boston Community Capital,1,34,10 Malcolm X Boulevard,Roxbury,MA,2119,Solar
Boston Electrometallurgical Corporation,7,99,6A Gill Street,Woburn,MA,1801,Other
Boston Green Building,4,15,218 Lincoln Street,Allston,MA,2134,Energy Efficiency
"Boston Materials, Inc.",5,4,"900 Middlesex Turnpike, Suite 2-1",Billerica,MA,1821,Energy Efficiency
Boston Power,4,35,"2200 West Park Drive, Suite 320",Westborough,MA,1581,Fuel Cell
Boston Society of Architects/AIA,3,14,290 Congress Street Suite 200,Boston,MA,2210,Green Building
Bot Watt,1,1,282 Moody Street Suite 202,Waltham,MA,2453,Services and Support
BPVS (Berkshire Photovoltaic),14,6,"60 Roberts Drive, Suite 109",North Adams,MA,1247,Solar
Brideau Oil Corporation,1,30,49 Cobbler Drive,Fitchburg,MA,1420,Energy Efficiency
"Brightfields Development, LLC",14,7,"40 Walnut Street, Suite 301",Wellesley,MA,2481,Solar
BrightSpot Automation,1,3,"10 Abbot Mill Lane, 10F",Westford,MA,1886,Solar
Brown Advisory,1,40,100 High St 27th Floor,Boston,MA,2140,Energy Efficiency
Browning the Green Space,13,4,"50 Milk Street, 15th Floor",Boston,MA,2109,Services and Support
Building 36 Technologies,10,14,150 A St #104,Needham,MA,2494,Energy Efficiency
Building Assure PBC,12,2,"60 Thoreau St, Suite 222",Concord,MA,1742,Energy Efficiency
Building Envelope Materials,12,2,4 Hathaway Road,Lexington,MA,2420,Energy Efficiency
Building Evolution Corporation,6,6,"138 Green Street, Suite 203",Worcester,MA,1604,Energy Efficiency
Built Environment Plus,20,4,PO Box 366 ,Somerville,MA,2143,Green Building
Bulbs.com,20,43,243 Stafford Street Bulbs.com,Worcester,MA,1603,1
Burmester & Vogel Ltd,3,3,"50 Milk Street, Floor 16",Boston,MA,2109,Water Technology
BW Research Partnership,33,7,"685 South Street, Unit G",Wrentham,MA,2093,Other
"Byggmeister Associates, Inc.",5,13,667A Sawmill Brook Parkway,Newton,MA,2459,Energy Efficiency
Cadmus Group,1,60,410 Totten Pond Road,Waltham,MA,2451,Energy Efficiency
Cala Systems Inc.,6,14,444 Somerville Avenue,Somerville,MA,2143,Green Building
Camberline Technologies,2,0,5 Lilac Court,Cambridge,MA,2141,Energy Efficiency
"Cambrian Innovation, Inc.",20,17,150 Coolidge Ave,Watertown,MA,2472,Water Technology
Cambridge Health Alliance,1,4700,"350 Main Street, 5th Floor",Malden,MA,2148,Hospital and Healthcare
Cape & Islands Self Reliance Corporation,14,3,P.O. Box 396,North Falmouth,MA,2566,Solar
"Capro-X, Inc.",2,1,444 Somerville Avenue,Somerville,MA,2143,"Chemicals, Materials"
Castillo Engineering Services,8,2,"620 N. Wymore Rd., Suite 250",Maitland,FL,32751,Solar
CED Greentech,30,40,1299 Farnam Street Suite 300,Omaha,MA,2110,Solar
Center for Sustainable Energy,5,3,"745 Atlantic Avenue, 8th Floor",Boston,MA,2111,"Alternative Transportation,Energy Efficiency,Green Building,Smart Grid,Solar"
"Certified Safe Electric, Inc.",1,7,50 Tower Ave.,Marshfield,MA,2050,Solar
"CF Technologies, Inc.",9,11,"1 Westinghouse Plaza, Suite D101",Hyde Park,MA,2136,Biofuel
change:WATER Labs,13,5,413 Broadway,Cambridge,MA,2138,Water Technology
Chapman Construction/Design,2,85,84 Winchester Street,Newton,MA,2461,Green Building
Chester Engineers ,2,,18 Commercial Street,Salem,MA,1970,Energy Efficiency
CIMCON Lighting,7,11,35 Crosby Dr,Bedford,MA,1730,"Energy Efficiency,Green Building,Smart Grid"
Circe Bioscience Inc.,6,15,750 Main St,Cambridge,MA,2139,Biomass
Citizens Energy Corporation,5,25,88 Black Falcon Ave,Boston,MA,2210,"Alternative Transportation,Biofuel,Energy Efficiency,Green Building,Smart Grid,Solar,Wind,Other"
Citizens' Housing and Planning Association,2,17,"1 Beacon Street, 5th Floor",Boston,MA,2108,Alternative Transportation
"Civico Development, LLC",3,4,40 Jackson St Ste 3200,Worcester,MA,1608,Green Building
Clean Asset Partners Corp,1,,"691 Massachusetts Ave., Suite 7",Arlington,MA,2476,Energy Efficiency
Clean Crop Technologies,1,15,410 Dwight St.,Holyoke,MA,1040,Energy Efficiency
Clean Energy Collective,2,17,146 West Boylston St,Worcester,MA,1606,Solar
Clean Energy Innovations,4,4,151 Martine Street,Fall River,MA,2723,Energy Efficiency
"Clean Energy Solutions, Inc.",7,3,85 Merrimac Street,Boston,MA,2114,Energy Efficiency
Clean Energy Venture Group,29,1,"50 Milk Street, Floor 16",Boston,MA,2109,Other
"Clean Energy Venture Management, LLC",38,7,"50 Milk Street, Floor 16",Boston,MA,2109,Other
Clean Membranes,1,4,"400 West Cummings Park, Suite 1625",Woburn,MA,1801,Water Technology
Clean Water Fund,12,11,PO Box 188,Mt. Clemens,MI,48046,Other
"CleanPower Perks, LLC",3,1,"50 Milk Street, 17th Floor",Boston,MA,2109,Services and Support
CLEAResult,21,350,50 Washington St,Westborough,MA,1581,"Conservation,Energy Efficiency"
"ClearlyEnergy, Inc.",8,2,205 Severn River Road,Severna Park,MD,21146,Energy Efficiency
Cleo Robotics Labs,4,3,"12 Channel St, Suite 202",Boston ,MA,2210,Services and Support
"Climable, Inc.",47,4,955 Massachusetts Avenue #407,Cambridge,MA,2139,"Demand Response,Energy Efficiency,Services and Support,Solar,Other"
Climate Action Business Association (CABA),19,9,131 Cambridge Street,Boston,MA,2114,"Carbon Trading,Demand Response,Energy Efficiency,Services and Support,Smart Grid,Solar,Other"
"Climate Xchange Education and Research, Inc.",21,3,"1 Beacon Street, Fl 15",Boston,MA,2108,Other
Climatics,2,1,"11 Allen Ave, #3",Manchester,MA,1944,Services and Support
CloudSolar Energy,9,2,8 Saint Marys St Suite 324,Boston,MA,2215,Solar
Codman Square Neighborhood Development Corporation,1,23,587 Washington St,Boston,MA,2124,Services and Support
Co-Everything LLC,11,2,6 Liberty Square PMB #280,Boston,MA,2109,Green Building
COI Energy Services,14,3,"3802 Spectrum Blvd., Ste. 151",Tampa,FL,33612,Energy Efficiency
Collaborative for High Performance Schools,3,1,29 Dianne Road,Medford,MA,2155,Green Building
College to Climate,1,3,877 East 4th Street,Boston,MA,2127,Services and Support
Commonwealth Bay,2,2,1 Broadway,Cambridge,MA,2142,Wind
Community Foundation of Southeastern Massachusetts,19,11,30 Cornell St.,New Bedford,MA,2740,Solar
Competitive Energy Services,2,3,"148 MIDDLE STREET, SUITE 500",Portland,ME,4101,"Services and Support,Solar"
Complete Energy Services Corporation,4,22,"407 South Street East, Unit A2",Raynham,MA,2767,Energy Efficiency
"Concepts NREC (concepts ETI, Inc.)",2,15,1285 Billerica Road.,Chelmsford,MA,1824,Hydro
Conduit Tech,3,1,444 Somerville Avenue,Somerville,MA,2143,Green Building
Conservation Law Foundation,6,100,62 Summer Street,Boston,MA,2110,Conservation
Consolidated Edison Solutions,1,,2 Burlington Woods,Burlington,MA,1803,Services and Support
Consortium for Energy Efficiency,4,1,"35 Village Road, Suite 2020",Middleton,MA,1949,Energy Efficiency
Conti Solar,3,30,100 Grove Street,Worcester,MA,1605,Solar
"Converge Strategies, LLC",15,3,50 Holbrook Street,Boston,MA,2130,Energy Efficiency
"CoolChip Technologies, Inc.",12,3,28 Dane St.,Somerville,MA,2143,Energy Efficiency
CoolComposites,1,4,270 Dorchester Avenue,Boston,MA,2127,Energy Efficiency
"CoolGreenPower, LLC",65,3,"60 Thoreau St, Suite 222",Concord,MA,1742,Energy Efficiency
Co-op Power,30,3,296 Nonotuck St #4,Northampton,MA,1062,Solar
Cooperstown Environmental,2,,23 Main St.,Andover,MA,1810,Services and Support
"Cottage Energy, Inc. (DBA Public Grid)",3,2,444 Somerville Avenue,Somerville,MA,2143,Other
Cotuit Solar,13,16,PO Box 89,Cotuit,MA,2635,Alternative Transportation
Cozy Home Performance,2,,180 Pleasant St.,Easthampton,MA,1027,Energy Efficiency
Crane Institute of Sustainability,22,7,P.O. Box 983,Andover,MA,1810,Services and Support
CrossTek Membrane Technology,17,8,900 Technology Park Drive Suite 100,BILLERICA,MA,1821,Water Technology
CrowdComfort,17,8,"1 Lincoln St, Ste 2400",BOSTON,MA,2211,Green Building
CS Energy,2,40,100 Grove Street ,Worcester,MA,1605,Solar
CubicPV Inc.,1,1,"28 Crosby Drive, Unit 2500",Bedford,MA,1730,Solar
"CurbHub, Inc.",3,2,11 STARLIGHT DR ,Walpole,MA,2081,Alternative Transportation
"Cyvl, Inc.",5,6,444 Somerville Ave,Somerville,MA,2143,Services and Support
"Daniel Consulting Group, LLC",3,1,444 Somerville Avenue,Somerville,MA,2143,Services and Support
De-Ice Technologies,14,3,28 Dane Street,Somerville,MA,2143,"Energy Efficiency,Other"
"DemandQ, Inc.",2,3,280 Moody St,Waltham,MA,2453,Demand Response
"DenoWatts, LLC",3,1,"1600 Osgood Street, Suite 2056",North Andover,MA,1845,Solar
Digital Lumens,1,100,374 Congress Street,Boston,MA,2110,Energy Efficiency
Discovery Museum,1,65,177 Main Street,Acton,MA,1720,Art and Culture/Education
"Distributed Energy Research & Solutions, Inc.",7,2,12 Berkeley CT,Brookline,MA,2445,Services and Support
Diversified Construction,5,,100 University Road,Amherst,MA,1002,Green Building
Divya Energy,11,2,"1 Broadway, 14th Floor",Cambridge,MA,1824,Solar
Domovi,2,1,444 Somerville Ave.,Somerville,MA,2143,
DREAM Collaborative,1,20,36 St. James Ave.,Boston,MA,2116,Green Building
DRF Engineering Services,9,2,860 Worcester Rd Suite 305,Framingham,MA,1702,Energy Efficiency
"Dropwise, Inc",3,3,44 Portland St.,Worcester,MA,1608,Energy Efficiency
DXS New England,2,12,"1 Corporation Way, Suite 110",Peabody,MA,1960,Energy Efficiency
Dynamo Micropower,5,4,28 Dane St.,Somerville,MA,2143,Demand Response
"E2 Solar, Inc.",2,12,831 Main St,Dennis,MA,2638,Solar
E2SOL LLC,7,1,Suite 107,Fall River,MA,2723,Solar
"E4TheFuture, Inc.",11,6,430 Franklin Village Drive #219,Franklin,MA,2038,Energy Efficiency
EARI,4,4,155 South Street,Wrentham,MA,2093,Other
Earth Aid,4,9,61 Chatham St.,Boston,MA,2109,Services and Support
East Light Partners,6,3,552 Massachusetts Avenue,Cambridge,MA,2139,Solar
ECA Solar,19,12,282 Moody St Suite 202 ,Waltham ,MA,2453,Solar
EcoForge,1,2,444 Somerville Avenue,Somerville,MA,2143,Green Building
"Ecogen Services, LLC",3,7,PO Box 71,Uxbridge,MA,1569,"Biomass,Conservation,Energy Efficiency,Services and Support,Solar"
Economic Advancement Research Institute (EARI),2,2,"155 South Street, Suite 103",Wrentham,MA,2093,Other
ecoVent Corporation,9,40,"24 Cambridge Street, Suite 6",Charlestown,MA,2129,Energy Efficiency
ECP Solar,1,3,PO Box 179,Boxford,MA,1921,Solar
"eCurv, Inc.",2,6,"1 Broadway, 14th Floor",Cambridge,MA,2142,Demand Response
"Eden GeoPower, Inc.",19,20,444 Somerville Ave,Somerville,MA,2143,Geothermal
Edison Energy,31,28,53 State Street Suite 3802,Boston,MA,2109,Solar
EdwiseTech Inc. (DBA SunDensity),10,7,0 Meadowvale Road,Burlington,MA,1803,Energy Efficiency
"E-Green, LLC",31,2,14 Concord Ave Apt307,Cambridge,MA,2138,Energy Efficiency
"Ekotrope, Inc.",28,17,177 HUNTINGTON AVE STE 1703 #33888,BOSTON,MA,2115,Energy Efficiency
Elateq Inc.,1,3,"240 Thatcher Road, LSL 571",Amherst,MA,1003,Water Technology
Electra Vehicles,21,13,110 K Street Suite 330,Boston,MA,2127,Alternative Transportation
Electric Hydrogen,2,100,1 Strathmore Road,Natick,MA,1760,Hydrogen
Electric Vehicle Discovery Center Inc,1,2,131 Buckingham Street,"Hartford,",CT,6106,Alternative Transportation
"Electrified Thermal Solutions, Inc",2,2,407 Rear Mystic Ave Unit 32A,Medford,MA,2155,Energy Storage
Elevated Design Inc.,6,7,50 Bay State Road,Quincy,MA,2171,Energy Efficiency
Elkus Manfredi Architects,3,178,"25 Drydock Avenue, Floor 7",Boston,MA,2210,Green Building
"Embue, Inc.",16,10,44 Portland Street,Worcester,MA,1608,Energy Efficiency
Emerald Cities Collaborative,5,5,"1660 L Street NW, Suite 204",Washington,DC,20036,Green Building
"EmotionRX, Inc.",12,4,245 Main Street 2nd Fl ,Cambridge,MA,2142,Conservation
"Emvolon, Inc.",7,4,30 6th Road ,Woburn,MA,1801,Biofuel
Endless Energy,8,40,184 Cedar Hill St,Marlborough,MA,1752,"Energy Efficiency,Solar"
"Enel Green Power North America, Inc.",8,250,"100 Brickstone Square, Suite 300",Andover,MA,1810,"Geothermal,Hydro,Solar,Wind"
"EnerConnection, LLC",2,1,1 Soldiers Field Park #216,Boston,MA,2163,Energy Efficiency
"Energetic Insurance, Inc. DBA Energetic Capital",26,9,"15 Main Street, Suite 256",Watertown,MA,2472,Services and Support
Energia,1,,242 Suffolk St,Holyoke,MA,1040,Energy Efficiency
Energy Allies,2,3,160 Alewife Brook Pkwy #1048,Cambridge,MA,2138,Solar
"Energy Engineering and Design, Inc.",1,2,65 Main Street,Framingham,MA,1702,Energy Efficiency
"Energy Federation, Inc.",16,20,2 Mount Royal Avenue Ste 325,Marlborough,MA,1752,Energy Efficiency
Energy Intelligence,6,3,48 Bonnybrook Road,Waban,MA,2468,Conservation
Energy Tariff Experts LLC,1,2,"1 Broadway, 14th Floor",Cambridge,MA,2142,Services and Support
Energy Ventures Group,1,2,4 Hawk Ridge Road,Andover,MA,1810,
"EnergySage, Inc.",56,115,"3 Center Plaza, Suite 400",Boston,MA,2108,Solar
EnerNOC,13,500,1 Marina Park Drive,Boston,MA,2210,Demand Response
Entegra + Architectural Health,7,3,"19 Pearson Avenue, Apt. 1",Somerville,MA,2144,Green Building
Entrepreneurial and Business Collaborative,1,3,183 Dartmouth Terrace,Springfield,MA,1109,Other
"enVerid Systems, Inc. ",2,18,102 2nd Ave,Needham,MA,2494,"Energy Efficiency,Green Building,Other"
EnviENERGY Studio LLC,1,7,"100 Summer Street, Suite 1600",Boston,MA,2110,Energy Efficiency
Environmental League of Massachusetts,1,17,"15 Court Square, Suite 1000",Boston,MA,2108,Offshore Wind
"ET Capital Solar Partners USA, Inc.",1,1,"5000 Hopyard Road, Suite 302",Pleasanton,CA,94588,Solar
EthoSolar,1,6,100 Grove Street,Worcester,MA,1605,Solar
Eversource,3,3000,1 NSTAR Way,Westwood,MA,2090,Energy Efficiency
EverVest,2,2,21 School Street - 3rd Floor,Boston,MA,2108,"Solar,Wind"
"EVKON, LLC",1,3,53 Fairview Avenue,Reading,MA,1867,Smart Grid
"Ewing Controls, Inc.",1,8,321 Deerfield Street,Greenfield,MA,1301,Other
FacilityConneX,8,10,138 Industrial Park Drive,Nashua,NH,2360,Green Building
Factorial,2,150,19 Presidential Way,Woburn,MA,1801,Energy Efficiency
FastCAP Systems,16,30,21 Drydock Ave,Boston,MA,2210,"Energy Efficiency, Fuel Cell, Geothermal"
Fastcap Systems Corporation (DBA Nanoramic Laboratories),6,35,7 Audubon Road Ste 100,Wakefield,MA,1880,Other
"Faze1, Inc.",6,4,649 Massachusetts Ave.,Cambridge,MA,2139,Energy Efficiency
Felectric,4,3,750 Main Street,Cambridge,MA,2139,Fuel Cell
"Feon Energy, Inc.",6,8,"150 New Boston Street, Suite W",Woburn,MA,1801,Energy Efficiency
FGC Plasma Solutions,13,2,11 River St ,Middleton,MA,1949,Energy Efficiency
"Finwave Semiconductor, Inc.",22,7,15 Amherst Road,Belmont,MA,2478,Energy Efficiency
FireFlower Alternative Energy,18,2,107 Union Wharf,Boston,MA,2109,Solar
"FirstFuel Software, Inc.",16,72,420 Bedford St,Lexington,MA,2420,Energy Efficiency
Firstlight Power Services,3,80,"100 District Ave, Suite 102",Burlington,MA,1803,Hydro
Fiveworx,1,2,111 East Jackson Ave,Knoxville,TN,37915,Energy Efficiency
"Fleet Robotics, Inc.",10,11,"21 Properzi Way, Suite A",Somerville,MA,2143,Energy Efficiency
Flo Design,10,2,"100 State St, Bldg 123-A PO Box 589",Ludlow,MA,1056,Wind
"FloDesign Sonics, Inc.",23,28,380 Main Street,Wilbraham,MA,1095,Water Technology
"Florrent, Inc.",4,3,665 Amherst Road Ste. 2,Sunderland,MA,1375,Energy Efficiency
"Fluid-Screen, Inc.",8,5,100 Morrissey Boulevard,Boston,MA,2125,Water Technology
Flux Marine Ltd.,5,1,444 Somerville Ave. ,Somerville,MA,2143,Alternative Transportation
Focus Electrical Corp.,2,3,62 Pine Valley Dr.,Dracut,MA,1826,Energy Efficiency
Folia Materials Inc.,11,7,3 Loomis Street,Bedford,MA,1730,Other
Form Energy,4,1,30 Dane St.,Somerville,MA,2143,Energy Storage
ForTheGood PBC (DBA Flow),5,1,40 Westland Avenue,Westwood,MA,2090,Biomass
Found Energy,6,10,"50 Terminal Street, Building 2, Suite 711",Charlestown,MA,2129,Energy Efficiency
Fourier LLC,1,2,145 S. Bedford Street,Burlington,MA,1803,Energy Efficiency
Free Flow Power Corporation,11,14,"239 Causeway Street, Suite 300",Boston,MA,2114,Hydro
FTL Labs Corporation,8,11,85 N Whitney #108,Amherst,MA,1002,Water Technology
"Fusion Optix, Inc.",6,31,17 Wheeling Avenue,Woburn,MA,1801,Energy Efficiency
Gaia AI,4,2,444 Somerville Ave,Somerville,MA,2143,Conservation
Gaia Elements Inc.,1,4,501 Massachusetts Ave,Cambridge,MA,2139,Wind
Galley Power,1,2,241 Boston Post Rd West,Marlborough,MA,1752,"Energy Efficiency,Smart Grid,Solar"
Galvion,4,2,153 Northboro Road Suite 1,Southborough,MA,1752,Energy Storage
Gencores Inc.,1,5,561 Windsor Street,SOMERVILLE,MA,2143,Energy Efficiency
GenH,3,3,444 Somerville Avenue,Somerville,MA,2143,Water Technology
"Giner, Inc.",8,63,89 RUMFORD AVE,Newton,MA,2466,Fuel Cell
Ginkgo BioWorks,3,22,"27 Drydock Ave, Floor 8",Boston,MA,2210,Energy Efficiency
"Girard Heating & Air Conditioning, Inc.",1,10,166 Meadow Street,Westfield,MA,1085,Energy Efficiency
"Glenvale, LLC",5,12,3190 Washington Street,Jamaica Plain,MA,2130,Solar
Glimpse,1,9,444 Somerville Avenue,Somerville,MA,2143,Other
